Fahrenheit  Celsius     
-10.00      -23.333333
-9.00       -22.777778
-8.00       -22.222222
-7.00       -21.666667
-6.00       -21.111111
-5.00       -20.555556
-4.00       -20.000000
-3.00       -19.444444
-2.00       -18.888889
-1.00       -18.333333
0.00        -17.777778
1.00        -17.222222
2.00        -16.666667
3.00        -16.111111
4.00        -15.555556
5.00        -15.000000
6.00        -14.444444
7.00        -13.888889
8.00        -13.333333
9.00        -12.777778
10.00       -12.222222
